"Gulv, Dør, Vindu og Varme",Varme,,Elektriske Ovner,3401700,,,,,,,,,,,,,,,,,,,,3401700
"Gulv, Dør, Vindu og Varme",Port og Luker,,Inspeksjonsluker,1310900,,,,,,,,,,,,,,,,,,,,1310900
"Gulv, Dør, Vindu og Varme",Port og Luker,,Loftsluker,1226001,1226900,,,,,,,,,,,,,,,,,,,"1226001,1226900"
"Gulv, Dør, Vindu og Varme",Port og Luker,,Garasjeport og Tilbehør ,1350100,1350200,1350210,1350500,,,,,,,,,,,,,,,,,"1350100,1350200,1350210,1350500"
Verktøy og Festemateriell,Håndverktøy,,Filer,1843100,1843200,1843300,1843400,,,,,,,,,,,,,,,,,"1843100,1843200,1843300,1843400"
Verktøy og Festemateriell,Håndverktøy,,Skrutrekkere,1844100,1844200,1844300,1844500,,,,,,,,,,,,,,,,,"1844100,1844200,1844300,1844500"
Verktøy og Festemateriell,Håndverktøy,,Pipeverktøy,1845100,1845200,1845300,1845400,1845500,1845600,1845800,1850620,1850630,1850640,1850650,,,,,,,,,,"1845100,1845200,1845300,1845400,1845500,1845600,1845800,1850620,1850630,1850640,1850650"
Verktøy og Festemateriell,Håndverktøy,,Hammere,1846100,1846200,1846300,1846400,1846500,1846900,,,,,,,,,,,,,,,"1846100,1846200,1846300,1846400,1846500,1846900"
Verktøy og Festemateriell,Håndverktøy,,Tenger,1847100,1847200,1847250,1847300,1847400,1847500,1847600,1847700,,,,,,,,,,,,,"1847100,1847200,1847250,1847300,1847400,1847500,1847600,1847700"
Verktøy og Festemateriell,Håndverktøy,,Høvler og Huggjern,1850010,1850020,1850040,,,,,,,,,,,,,,,,,,"1850010,1850020,1850040"
Verktøy og Festemateriell,Håndverktøy,,Kniver og Tilbehør,1850030,1850035,,,,,,,,,,,,,,,,,,,"1850030,1850035"
Verktøy og Festemateriell,Håndverktøy,,Syl,1850070,,,,,,,,,,,,,,,,,,,,1850070
Verktøy og Festemateriell,Håndverktøy,,Avdragere og Spennverktøy,1850090,1850670,1850510,,,,,,,,,,,,,,,,,,"1850090,1850670,1850510"
Verktøy og Festemateriell,Håndverktøy,,Sekskantnøkler,1850110,,,,,,,,,,,,,,,,,,,,1850110
Verktøy og Festemateriell,Håndverktøy,,Fastnøkler,1850590,1850600,1850610,,,,,,,,,,,,,,,,,,"1850590,1850600,1850610"
Verktøy og Festemateriell,Håndverktøy,,Skiftenøkler,1850660,,,,,,,,,,,,,,,,,,,,1850660
Verktøy og Festemateriell,Håndverktøy,,Tvinger,1850120,,,,,,,,,,,,,,,,,,,,1850120
Verktøy og Festemateriell,Håndverktøy,,Brekkjern,1850130,,,,,,,,,,,,,,,,,,,,1850130
Verktøy og Festemateriell,Håndverktøy,,Håndsager,1850200,1850210,1850220,,,,,,,,,,,,,,,,,,"1850200,1850210,1850220"
Verktøy og Festemateriell,Håndverktøy,,Baufiler,1850550,,,,,,,,,,,,,,,,,,,,1850550
Verktøy og Festemateriell,Håndverktøy,,Meterstokker Målebånd og Måleverktøy,1852100,1852200,1852210,1852300,1852350,1852380,1852320,,,,,,,,,,,,,,"1852100,1852200,1852210,1852300,1852350,1852380,1852320"
Verktøy og Festemateriell,Håndverktøy,,Vatere Vinkler og Rettholt,1852400,1852430,1852480,,,,,,,,,,,,,,,,,,"1852400,1852430,1852480"
Verktøy og Festemateriell,Håndverktøy,,Merkevertøy Blyanter etc.,1852070,1852050,,,,,,,,,,,,,,,,,,,"1852070,1852050"
Verktøy og Festemateriell,Håndverktøy,,Økser og Tilbehør,1850260,1850270,1850280,1850290,,,,,,,,,,,,,,,,,"1850260,1850270,1850280,1850290"
Verktøy og Festemateriell,Håndverktøy,,Stiftepistoler,1850150,,,,,,,,,,,,,,,,,,,,1850150
Verktøy og Festemateriell,Håndverktøy,,Slegger og Spett,1850300,,,,,,,,,,,,,,,,,,,,1850300
Verktøy og Festemateriell,Håndverktøy,,Sakser ,1850320,1850330,,,,,,,,,,,,,,,,,,,"1850320,1850330"
Verktøy og Festemateriell,Håndverktøy,,Meisler og Dorer,1850440,,,,,,,,,,,,,,,,,,,,1850440
Verktøy og Festemateriell,Håndverktøy,,Mureverktøy,1855300,1855500,1855520,1855540,1855550,1855600,1855750,1855850,1855860,1855870,1855955,,,,,,,,,,"1855300,1855500,1855520,1855540,1855550,1855600,1855750,1855850,1855860,1855870,1855955"
Verktøy og Festemateriell,El-Verktøy,,Bor og Drill,1965100,1967100,,,,,,,,,,,,,,,,,,,"1965100,1967100"
Verktøy og Festemateriell,El-Verktøy,,Sager,1965200,1967200,1971100,,,,,,,,,,,,,,,,,,"1965200,1967200,1971100"
Verktøy og Festemateriell,El-Verktøy,,Slipemaskiner,1965300,1967300,,,,,,,,,,,,,,,,,,,"1965300,1967300"
Verktøy og Festemateriell,El-Verktøy,,Vinkelslipere,1965400,1967400,,,,,,,,,,,,,,,,,,,"1965400,1967400"
Verktøy og Festemateriell,El-Verktøy,,Freser og Høvler,1965550,1965600,1967550,1967600,,,,,,,,,,,,,,,,,"1965550,1965600,1967550,1967600"
Verktøy og Festemateriell,El-Verktøy,,Varmluftspistol Fugepistol og Stiftemaskin,1965750,1967750,1965800,1967800,1967780,,,,,,,,,,,,,,,,"1965750,1967750,1965800,1967800,1967780"
Verktøy og Festemateriell,El-Verktøy,,El-Verktøy Tilbehør,1968290,1968300,1968360,1968400,1968410,1968450,1968550,1968555,1968600,1968700,1968800,1968810,1968850,1968900,1968955,,,,,,"1968290,1968300,1968360,1968400,1968410,1968450,1968550,1968555,1968600,1968700,1968800,1968810,1968850,1968900,1968955"
Verktøy og Festemateriell,El-Verktøy,,Batterier og Ladere,1968750,,,,,,,,,,,,,,,,,,,,1968750
